Sprache;Land;Latitude;Longitude
Deutsch;Deutschland;52.00;10.00
Englisch;England;52.00;0.00
Niederländisch;Niederland;52.50;6.00
Französisch;Frankreich;48.00;2.00
Italienisch;Italien;43.00;12.00
Griechisch;Griechland;39.00;22.00
Portugiesisch;Portugal;39.00;-8.00
Polnisch;Poland;52.00;20.00
Russisch;Russland;56.00;38.00
Ukrainisch;Ukraine;49.00;33.00
Rumänisch;Romänien;46.00;25.00
Armenisch;Iran;32.67;51.67
Türkisch;Türkey;39.00;35.00
Tigrinya;Ethiopia Eritrea;14.50;38.50
Chinesisch;China;35.00;115.00
Kantonesisch;China;23.00;113.00
Japanisch;Japan;37.00;140.00
Koreanisch;Süd Korea;37.50;128.00
Hindi;Indien;25.00;77.00
Vietnamesisch;Vietnam;10.50;106.50
Indonesisch;Indonesia;0.00;106.00
Kroatisch;Kroatien;44.00;19.00
Georgisch;Georgien;42.00;44.00
Berber;Morocco;33.33;-4.67
Albanisch;Albanien;41.00;20.00
Persisch;Iran;32.00;54.00
Spanisch;Mexiko;19.21;-99.38
