Sprache;Land;Gattung;Familie;Latitude;Longitude;Wortfolge;Adjektiv+Nomen;Musik+Mozart;Artikel+Nomen;Farbe+Nomen;Numeral+Nomen;Artikel+Farbe;Artikel+Numeral;Artikel+Adjektiv;Farbe+Adjektiv;Adjektiv+Adjektiv-Umfang
Deutsch;Deutschland;Germanic;1 Indo-European;52.00;10.00;1 SVO;1 1 Adj+N;1 MuMo;1 DET+N;1 Fa+N;1 Num+N;1 DET+Fa;1 DET+Num;1 DET+Adj;1 Adj+Fa;1 Adj+Adj-U
Englisch;England;Germanic;1 Indo-European;52.00;0.00;1 SVO;1 Adj+N;1 MuMo;1 DET+N;1 Fa+N;1 Num+N;1 DET+Fa;1 DET+Num;1 DET+Adj;1 Adj+Fa;1 Adj+Adj-U
Niederländisch;Niederland;Germanic;1 Indo-European;52.50;6.00;1 SVO;1 Adj+N;1 MuMo;1 DET+N;1 Fa+N;1 Num+N;1 DET+Fa;1 DET+Num;1 DET+Adj;1 Adj+Fa;1 Adj+Adj-U
Französisch;Frankreich;Romance;1 Indo-European;48.00;2.00;1 SVO;3 No dominant order;1 MuMo;1 DET+N;2 N+Fa;1 Num+N;1 DET+Fa;1 DET+Num;1 DET+Adj;1 Adj+Fa;1 Adj+Adj-U
Italienisch;Italien;Romance;1 Indo-European;43.00;12.00;1 SVO;2 N+Adj;1 MuMo;1 DET+N;2 N+Fa;1 Num+N;1 DET+Fa;1 DET+Num;1 DET+Adj;1 Adj+Fa;1 Adj+Adj-U
Griechisch;Griechland;Greek;1 Indo-European;39.00;22.00;1 SVO;1 Adj+N;1 MuMo;1 DET+N;1 Fa+N;1 Num+N;1 DET+Fa;1 DET+Num;1 DET+Adj;1 Adj+Fa;1 Adj+Adj-U
Portugiesisch;Portugal;Romance;1 Indo-European;39.00;-8.00;1 SVO;2 N+Adj;1 MuMo;1 DET+N;2 N+Fa;1 Num+N;1 DET+Fa;1 DET+Num;1 DET+Adj;2 Fa+Adj;2 Adj-U+Adj
Polnisch;Poland;Slavic;1 Indo-European;52.00;20.00;1 SVO;1 Adj+N;1 MuMo;1 DET+N;1 Fa+N;1 Num+N;NA;1 DET+Num;1 DET+Adj;1 Adj+Fa;2 Adj-U+Adj
Russisch;Russland;Slavic;1 Indo-European;56.00;38.00;1 SVO;1 Adj+N;1 MuMo;1 DET+N;1 Fa+N;1 Num+N;1 DET+Fa;1 DET+Num;1 DET+Adj;1 Adj+Fa;2 Adj-U+Adj
Ukrainisch;Ukraine;Slavic;1 Indo-European;49.00;33.00;1 SVO;1 Adj+N;1 MuMo;1 DET+N;1 Fa+N;1 Num+N;NA;1 DET+Num;1 DET+Adj;1 Adj+Fa;2 Adj-U+Adj
